occupation,degree,sex,estimate count,count moe,median
Correctional officers and jailers,bachelor,women,11700.0,2045.0,59980.0
Correctional officers and jailers,bachelor_plus,men,31280.0,3140.0,66110.0
Correctional officers and jailers,bachelor_plus,women,14820.0,2295.0,62470.0
Cost estimators,less_bachelor,men,65070.0,4765.0,77420.0
Cost estimators,less_bachelor,women,11940.0,1915.0,60690.0
Cost estimators,bachelor,men,35180.0,3225.0,88790.0
Cost estimators,bachelor_plus,men,41030.0,3455.0,90950.0
Cost estimators,bachelor_plus,women,9105.0,1830.0,68190.0
"Counselors, all other",less_bachelor,men,13090.0,2725.0,51850.0
"Counselors, all other",less_bachelor,women,19780.0,3035.0,42030.0
"Counselors, all other",bachelor,men,12760.0,1865.0,59450.0
"Counselors, all other",bachelor,women,21130.0,2940.0,45490.0
"Counselors, all other",bachelor_plus,men,27100.0,3110.0,60580.0
"Counselors, all other",bachelor_plus,women,60330.0,5230.0,53810.0
"Counselors, all other",graduate,men,14340.0,2450.0,61730.0
"Counselors, all other",graduate,women,39200.0,3720.0,59390.0
Counter and rental clerks,less_bachelor,men,16590.0,2605.0,42790.0
Couriers and messengers,less_bachelor,men,193200.0,8365.0,42620.0
Couriers and messengers,less_bachelor,women,48290.0,4345.0,30820.0
Couriers and messengers,bachelor,men,30820.0,3370.0,44450.0
Couriers and messengers,bachelor_plus,men,37840.0,4125.0,44890.0
Court reporters and simultaneous captioners,less_bachelor,women,14730.0,2405.0,73310.0
"Court, municipal, and license clerks",less_bachelor,women,40420.0,3935.0,41690.0
"Court, municipal, and license clerks",bachelor,women,12970.0,2620.0,47700.0
"Court, municipal, and license clerks",bachelor_plus,women,16060.0,2855.0,50450.0
Crane and tower operators,less_bachelor,men,48950.0,4635.0,71210.0
Credit analysts,bachelor,men,8910.0,1635.0,73860.0
Credit analysts,bachelor_plus,men,12110.0,1910.0,79650.0
